2025-06-07T10:05:33.556Z | CPU temp: 44.3°C | CPU load: 0.00
2025-06-07T10:05:43.560Z | CPU temp: 43.8°C | CPU load: 0.00
2025-06-07T10:05:53.561Z | CPU temp: 44.3°C | CPU load: 0.00
2025-06-07T10:06:03.559Z | CPU temp: 44.3°C | CPU load: 0.00
2025-06-07T10:06:13.566Z | CPU temp: 44.8°C | CPU load: 0.00
2025-06-07T10:06:23.567Z | CPU temp: 43.3°C | CPU load: 0.00
2025-06-07T10:06:33.566Z | CPU temp: 44.8°C | CPU load: 0.00
2025-06-07T10:06:43.572Z | CPU temp: 43.8°C | CPU load: 0.00
2025-06-07T10:06:53.574Z | CPU temp: 43.3°C | CPU load: 0.07
2025-06-07T10:07:03.571Z | CPU temp: 44.8°C | CPU load: 0.06
2025-06-07T10:07:13.577Z | CPU temp: 43.3°C | CPU load: 0.05
2025-06-07T10:07:23.580Z | CPU temp: 43.3°C | CPU load: 0.04
2025-06-07T10:07:33.577Z | CPU temp: 42.8°C | CPU load: 0.19
2025-06-07T10:07:43.581Z | CPU temp: 43.8°C | CPU load: 0.31
2025-06-07T10:07:53.583Z | CPU temp: 45.2°C | CPU load: 0.41
2025-06-07T10:08:03.583Z | CPU temp: 44.3°C | CPU load: 0.35
2025-06-07T10:08:13.585Z | CPU temp: 43.8°C | CPU load: 0.29
2025-06-07T10:08:23.587Z | CPU temp: 42.8°C | CPU load: 0.25
2025-06-07T10:08:33.589Z | CPU temp: 43.3°C | CPU load: 0.21
2025-06-07T10:08:43.591Z | CPU temp: 43.8°C | CPU load: 0.18
2025-06-07T10:08:53.593Z | CPU temp: 44.3°C | CPU load: 0.23
2025-06-07T10:09:03.593Z | CPU temp: 44.3°C | CPU load: 0.19
2025-06-07T10:09:13.596Z | CPU temp: 43.3°C | CPU load: 0.16
2025-06-07T10:09:23.597Z | CPU temp: 44.3°C | CPU load: 0.14
2025-06-07T10:09:33.598Z | CPU temp: 43.8°C | CPU load: 0.12
2025-06-07T10:09:43.603Z | CPU temp: 44.3°C | CPU load: 0.10
2025-06-07T10:09:53.603Z | CPU temp: 43.8°C | CPU load: 0.08
2025-06-07T10:10:03.595Z | CPU temp: 44.8°C | CPU load: 0.07
2025-06-07T10:10:13.607Z | CPU temp: 43.8°C | CPU load: 0.06
2025-06-07T10:10:23.607Z | CPU temp: 44.3°C | CPU load: 0.05
2025-06-07T10:10:33.612Z | CPU temp: 43.3°C | CPU load: 0.04
2025-06-07T10:10:43.611Z | CPU temp: 43.8°C | CPU load: 0.03
2025-06-07T10:10:53.612Z | CPU temp: 43.8°C | CPU load: 0.03
2025-06-07T10:11:03.613Z | CPU temp: 43.8°C | CPU load: 0.02
2025-06-07T10:11:13.617Z | CPU temp: 43.8°C | CPU load: 0.02
2025-06-07T10:11:23.619Z | CPU temp: 44.3°C | CPU load: 0.02
2025-06-07T10:11:33.620Z | CPU temp: 42.8°C | CPU load: 0.01
2025-06-07T10:11:43.624Z | CPU temp: 43.3°C | CPU load: 0.01
2025-06-07T10:11:53.628Z | CPU temp: 42.8°C | CPU load: 0.01
2025-06-07T10:12:03.626Z | CPU temp: 43.8°C | CPU load: 0.01
2025-06-07T10:12:13.629Z | CPU temp: 43.8°C | CPU load: 0.00
2025-06-07T10:12:23.632Z | CPU temp: 43.8°C | CPU load: 0.00
2025-06-07T10:12:33.632Z | CPU temp: 43.3°C | CPU load: 0.00
2025-06-07T10:12:43.635Z | CPU temp: 44.8°C | CPU load: 0.00
2025-06-07T10:12:53.635Z | CPU temp: 42.8°C | CPU load: 0.16
2025-06-07T10:13:03.635Z | CPU temp: 43.8°C | CPU load: 0.14
2025-06-07T10:13:13.640Z | CPU temp: 43.3°C | CPU load: 0.11
2025-06-07T10:13:23.640Z | CPU temp: 43.8°C | CPU load: 0.10
2025-06-07T10:13:33.641Z | CPU temp: 43.3°C | CPU load: 0.08
2025-06-07T10:13:43.643Z | CPU temp: 43.8°C | CPU load: 0.07
2025-06-07T10:13:53.645Z | CPU temp: 43.8°C | CPU load: 0.06
2025-06-07T10:14:03.646Z | CPU temp: 42.3°C | CPU load: 0.05
2025-06-07T10:14:13.650Z | CPU temp: 44.8°C | CPU load: 0.04
2025-06-07T10:14:23.652Z | CPU temp: 43.8°C | CPU load: 0.03
2025-06-07T10:14:33.655Z | CPU temp: 43.8°C | CPU load: 0.03
2025-06-07T10:14:43.655Z | CPU temp: 43.3°C | CPU load: 0.02
2025-06-07T10:14:53.655Z | CPU temp: 43.3°C | CPU load: 0.02
2025-06-07T10:15:03.648Z | CPU temp: 44.3°C | CPU load: 0.02
2025-06-07T10:15:13.659Z | CPU temp: 43.3°C | CPU load: 0.01
2025-06-07T10:15:23.661Z | CPU temp: 43.8°C | CPU load: 0.01
2025-06-07T10:15:33.663Z | CPU temp: 43.3°C | CPU load: 0.01
2025-06-07T10:15:43.661Z | CPU temp: 43.8°C | CPU load: 0.01
2025-06-07T10:15:53.663Z | CPU temp: 42.3°C | CPU load: 0.00
2025-06-07T10:16:03.664Z | CPU temp: 42.8°C | CPU load: 0.00
2025-06-07T10:16:13.669Z | CPU temp: 43.3°C | CPU load: 0.08
2025-06-07T10:16:23.669Z | CPU temp: 42.3°C | CPU load: 0.07
2025-06-07T10:16:33.669Z | CPU temp: 42.8°C | CPU load: 0.06
2025-06-07T10:16:43.672Z | CPU temp: 43.3°C | CPU load: 0.05
2025-06-07T10:16:53.678Z | CPU temp: 43.3°C | CPU load: 0.04
2025-06-07T10:17:03.674Z | CPU temp: 43.3°C | CPU load: 0.03
2025-06-07T10:17:13.678Z | CPU temp: 43.3°C | CPU load: 0.03
2025-06-07T10:17:23.679Z | CPU temp: 43.3°C | CPU load: 0.02
2025-06-07T10:17:33.679Z | CPU temp: 43.3°C | CPU load: 0.02
2025-06-07T10:17:43.682Z | CPU temp: 42.8°C | CPU load: 0.02
2025-06-07T10:17:53.684Z | CPU temp: 43.8°C | CPU load: 0.01
2025-06-07T10:18:03.684Z | CPU temp: 43.3°C | CPU load: 0.01
2025-06-07T10:18:13.688Z | CPU temp: 42.8°C | CPU load: 0.01
2025-06-07T10:18:23.690Z | CPU temp: 42.3°C | CPU load: 0.01
2025-06-07T10:18:33.690Z | CPU temp: 43.3°C | CPU load: 0.01
2025-06-07T10:18:43.693Z | CPU temp: 42.8°C | CPU load: 0.00
2025-06-07T10:18:53.694Z | CPU temp: 42.8°C | CPU load: 0.00
2025-06-07T10:19:03.695Z | CPU temp: 41.8°C | CPU load: 0.00
2025-06-07T10:19:13.697Z | CPU temp: 42.8°C | CPU load: 0.00
2025-06-07T10:19:23.699Z | CPU temp: 42.3°C | CPU load: 0.00
2025-06-07T10:19:33.699Z | CPU temp: 42.3°C | CPU load: 0.00
2025-06-07T10:19:43.704Z | CPU temp: 42.8°C | CPU load: 0.00
2025-06-07T10:19:53.702Z | CPU temp: 42.3°C | CPU load: 0.00
2025-06-07T10:20:03.700Z | CPU temp: 42.8°C | CPU load: 0.00
2025-06-07T10:20:13.707Z | CPU temp: 42.3°C | CPU load: 0.15
2025-06-07T10:20:23.706Z | CPU temp: 42.8°C | CPU load: 0.12
2025-06-07T10:20:33.708Z | CPU temp: 42.8°C | CPU load: 0.10
2025-06-07T10:20:43.712Z | CPU temp: 43.8°C | CPU load: 0.09
2025-06-07T10:20:53.712Z | CPU temp: 43.8°C | CPU load: 0.07
2025-06-07T10:21:03.713Z | CPU temp: 43.3°C | CPU load: 0.06
2025-06-07T10:21:13.717Z | CPU temp: 41.3°C | CPU load: 0.05
2025-06-07T10:21:23.716Z | CPU temp: 43.3°C | CPU load: 0.04
2025-06-07T10:21:33.717Z | CPU temp: 41.8°C | CPU load: 0.04
2025-06-07T10:21:43.721Z | CPU temp: 42.3°C | CPU load: 0.03
2025-06-07T10:21:53.721Z | CPU temp: 42.3°C | CPU load: 0.02
2025-06-07T10:22:03.723Z | CPU temp: 43.8°C | CPU load: 0.09
2025-06-07T10:22:13.727Z | CPU temp: 42.8°C | CPU load: 0.08
2025-06-07T10:22:23.727Z | CPU temp: 42.8°C | CPU load: 0.07
2025-06-07T10:22:33.728Z | CPU temp: 43.3°C | CPU load: 0.06
2025-06-07T10:22:43.730Z | CPU temp: 42.3°C | CPU load: 0.05
2025-06-07T10:22:53.732Z | CPU temp: 42.3°C | CPU load: 0.04
2025-06-07T10:23:03.732Z | CPU temp: 41.8°C | CPU load: 0.03
